Ссылка; Доп. ссылка (описание); Название; Страна происхождения;Основная научная  тематика;Доступность;Тип системы;Форматы данных;Функции;Размер базы данных;Целевая аудитория;Специализация
platform.inventorus.ru;inventorus.ru;INVENTORUS;РФ;Общая, акцент на инновациях и технологиях;Коммерческая система, доступ ентерпрайз;AI‑сервис с предиктивной аналитикой;Патенты, публикации, диссертации, НИР, НИОКР;Структурированная база НИОКР, патентов, статей. ИИ для предсказания трендов и выявления связей. Аналитика инноваций.; Патенты: 170 млн. Публикации: 267 млн. Авторы: 114 млн. Организации: 12 млн;Научные организации, корпорации, R&D‑департаменты, инвесторы;Инновации и прогноз технологических трендов
arxiv.org;Wikipedia ArXiv;ArXiv;США;Математика, физика, точные науки, AI;Полностью открытый доступ (OA);Издательский репозиторий препринтов;Препринты в PDF/TeX;Репозиторий свободных препринтов. Быстрая публикация результатов.  Широкое сообщество физиков/математиков/компьютерных наук;Более 2,4 млн статей (2025);Исследователи, аспиранты, академики, преимущественно физмат направления;Фундаментальная наука (математика, физика, CS)
webofscience.com;Wikipedia WoS;Web of Science;США/UK;Общая научная база, мультидисциплинарная;Платная подписка (университеты, организации);Реферативная и библиографическая база данных;Статьи, журналы, индексация цитирования;Сильная индексация цитирования (Citation Index).  Интеграция с JCR, Impact Factor.  Используется для оценки продуктивности ученых и организаций.;Записей в Core Collection: 79 млн. На платформе WoS всего: 171 млн.;Университеты, исследовательские организации, аналитики научной продуктивности;Универсальное покрытие науки и индекс цитирования
https://www.ebsco.com/;https://www.ebsco.com/about/mission;EBSCO;США;Общая, мультидисциплинарная;Платная подписка (университеты, организации, государственные учреждения);Библиотечно-информационная система, интегрирующая справочные, полнотекстовые и аналитические базы;Статьи, журналы, отчеты, книги, аудио/видео, клинические решения, eBook, Discovery, RIS, EndNote;Поиск по мультидисциплинарным базам, аналитика использования, встроенная ИИ-поддержка поиска, интеграция с внешними системами, создание папок и проектов, перевод, фильтры, мобильный доступ, экспорт данных;Около 6 000 полнотекстовых журналов, более 375 баз данных, eBook коллекции, тематические репозитории (2025, совокупно — десятки миллионов записей);Академические и публичные библиотеки, университеты, колледжи, исследовательские организации, правительства, больницы;Универсальные научные ресурсы и информационное обеспечение для образования и науки
https://scholar.google.com/intl/ru/scholar/help.html#overview;https://chromewebstore.google.com/detail/google-scholar-pdf-reader/dahenjhkoodjbpjheillcadbppiidmhp;Google Scholar;США;Исследования, наука, междисциплинарно, академические публикации;Полностью открытый доступ (OA);Академическая поисковая система и расширение для браузера;Статьи, тезисы, книги, препринты (PDF), цитирования, профили авторов;Поиск публикаций, отслеживание цитирований, профили авторов, экспорт цитат, рекомендации, e-mail-алерты, расширенный поиск, ИИ-оглавления и просмотр PDF, переход по ссылкам внутри PDF, тематические коллекции;Более 500 млн публикаций и книг, весь Google Scholar, более 1 млн пользователей расширения PDF Reader;Студенты, исследователи, преподаватели, научные организации;Базовая — все науки, расширение — просмотр PDF, работа с цитатами, быстрые переходы, ИИ-оглавления
https://www.elsevier.com/products/reaxys;https://www.reaxys.com/#/login;Reaxys;Нидерланды;Химия (органическая, неорганическая, био-, фармацевтика, материаловедение);Платная лицензионная подписка (университеты, компании);Экспертно‑курируемая химическая поисковая и аналитическая платформа;PDF, XML, SDFile, RDFile, SMILES, Excel, Word, TXT;Поиск веществ, реакций, свойств, биоданных, патентов; генерация синтетических маршрутов (AI/ретросинтез), NLP-поиск (AI Search), интеграция внешних/корп. данных, аналитика трендов;~283 млн веществ, 73 млн реакций, 113 млн документов, 43 млн патентов, 500 млн эксперим. данных, 338 млн коммерч. продуктов;Химики, фармацевты, исследователи, патентные аналитики, R&D отделы;Химические соединения, реакции, физико‑химические и спектральные данные, биологическая активность, патенты, коммерческие продукты
https://scifinder-n.cas.org/;https://www.cas.org/solutions/cas-scifinder-discovery-platform/cas-scifinder;CAS SciFinder;США;Химия, биохимия, материаловедение, фармацевтика, экология, нанотехнологии, хим. инжиниринг;Платная лицензионная подписка (университеты, компании);Комплексная научная поисковая и аналитическая платформа;PDF, RIS, RTF, TXT/Tagged, SDF (структуры), Excel, RDfile, FASTA;Поиск веществ, реакций, свойств, литературы, патентов, ретросинтез, картирование цитирований, биосеквенции, AI фильтрация, аналитика, экспорт результатов;>142 млн веществ, >73 млн реакций, >50 000 журналов, 11 млн патентов, >47 млн записей CAplus/Medline;Химики, фармацевты, исследователи, преподаватели, патентные аналитики, R&D;Химические вещества, реакции, свойства, спектры, патенты, коммерческие поставщики, биосеквенции, научная литература
https://www.elsevier.com/products/scival;https://www.elsevier.com/products/scival/overview/topics;SciVal Elsevier;Нидерланды/США;Мультидисциплинарная, управление исследовательской деятельностью;Платная подписка (университеты, организации);Платформа оценки исследовательской деятельности;Scopus publication data, отчёты, графики, таблицы, PDF/CSV экспорт;Анализ публикационной активности, аналитика по темам и кластерам, поиск коллабораций, оценка вкладов в UN SDG, анализ трендов и финансирования, визуализация;Данные о 24 000+ институтах, 94 000+ исслед. тем, на основе Scopus, обновляется еженедельно;Академические и R&D отделы, руководство, аналитики университетов и научных организаций;Оценка науки, анализ тем и трендов, построение стратегий развития, международное сравнение
https://www.elsevier.com/products/pure?ysclid=meojlgce2r913307877;https://www.elsevier.com/products/pure/how-it-works?ysclid=meojlhe5zf258749334;Pure Elsevier;Нидерланды;Мультидисциплинарная, управление исследовательской информацией;Платная подписка (университеты, организации);RIMS/CRIS — система организации, хранения и анализа данных о НИР;XML (импорт/экспорт), интеграция с внешними базами, отчёты, API, PDF, Excel;Агрегация и анализ информации о НИР: публикации, гранты, проекты, данные, профили, отчеты, порталы, управления метриками и показателями;500+ организаций, 1 млн+ профилей, ежегодно обновляется;Администрация и аналитики организаций, библиотекари, исследователи, менеджеры проектов;Институциональное управление наукой, отчётность, аналитика, публичные порталы, поддержка open science, интеграция с grant management
https://www.mendeley.com/;https://en.wikipedia.org/wiki/Mendeley;Mendeley Elsevier;Великобритания/Нидерланды;Междисциплинарная, академическая референт-менеджмент и базы данных;Freemium (базовая версия бесплатная, платные опции для организаций и расширенного хранения);Менеджер ссылок, облачное хранилище публикаций и данных, социальная сеть для ученых;PDF, BibTeX, RIS, XML, Word, Endnote, LaTeX, cloud- и desktop-синхронизация;Управление библиографией, работа с PDF, автоматическая генерация ссылок и библиографий, групповые коллекции, статистика цитируемости и чтения, плагины для Word/OpenOffice, Web Importer;Каталог: 100+ млн публикаций, >6 млн пользователей (2025), гибридная инфраструктура (cloud/desktop);Студенты, аспиранты, исследователи, преподаватели всех дисциплин;Менеджмент ссылок и PDF, совместная работа, статистика, интеграция с Word, LaTeX, импорт/экспорт данных
https://issekdash.hse.ru/viewer/public?dashboardGuid=f1b4484eecee40699e1036e6033125cb;https://www.hse.ru/primarydata/io;ВШЭ Индикаторы образования;Россия;Образование, статистика образования;Открытый доступ (интерактивная витрина, PDF сборники);Статистические сборники, дашборд (ИАС ИО);CSV, Excel, PDF, интерактивные графики;Длительная динамика индикаторов образования РФ, международные сравнения, фильтрация, экспорт, более 200 панелей (дашбордов), методологии, аналитика, ежегодные сборники;200+ дашбордов, ежегодные PDF-сборники (416–530 стр.; последние годы);Политики, исследователи, аналитики, образовательные организации, разработчики;Вся система образования РФ: структ., динамика, финансирование, кадры, цифровизация, результаты, условия обучения, сравнения с международными системами
https://www.rusprofile.ru/;https://www.rusprofile.ru/sources;Руспрофайл;Россия;Рынок, бизнес, проверки, юридические лица, предприниматели;Полностью открытый доступ;Онлайн-сервис проверки и анализа контрагентов (RegTech);XLSX, CSV, онлайн просмотр, PDF-выгрузки;Автоматическая проверка надежности по 50+ факторам риска, анализ связей, судебных дел, финансовых показателей, госзакупки, отслеживание изменений, выгрузки данных, фильтры по ОКВЭД и регионам, история изменений, проверка блокировок, уведомления, публикация информации о компании;10+ млн юридических лиц и 12+ млн ИП, ежедневное обновление, архивация исторических данных;Бизнес, юристы, бухгалтеры, службы безопасности, финансисты, руководители, собственники компаний, госорганы, исследователи;Проверка и анализ российских организаций и ИП, бизнес-риски, госзакупки, юридическая прозрачность, структурная финансовая аналитика
https://www.consultant.ru/;https://www.consultant.ru/about/; Консультант+ справочно-правовая система;